,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1829,172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,22/11/2022 03:37:32 PM,55007286,11,13,176.0,208.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,6.980893403830176,0.436305837739386,2391621.1304347822,4639500.022261787,11002179.0,25.0,55006175.0,5500617.5,5797885.060131366,11002245.0,197.0,55007286.0,4583940.5,5664704.242705342,11002277.0,25.0,0,0,0,0,88,104,0.1999735089638852,0.2363323287755007,16.0,16.0,16.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,16.666666666666668,16.0,16.0,0,0,0,0,0,0,11,176,13,208,-1,-1,11,0,282.8,65.30467058335108,338.0,197.0,11000961.0,721.1771626999846,11002179.0,11000301.0,Mal_Mod2
1810,172.21.0.100-172.21.0.120-80-34460-6,172.21.0.120,34460,172.21.0.100,80,6,04/10/2022 10:34:29 PM,50005876,17,13,811.0,275.0,81.0,0.0,47.70588235294117,36.91335243831552,65.0,0.0,21.15384615384616,21.904513057990865,21.717447765538594,0.5999294962855966,1724340.5517241375,3844404.761966479,10001375.0,6.0,50005751.0,3125359.4374999995,4787245.260504584,10001375.0,60.0,50005861.0,4167155.083333333,5149549.379856057,10001695.0,135.0,0,1,0,0,544,416,0.3399600478951713,0.2599694483904251,0.0,81.0,37.12903225806452,33.44422415055039,1118.516129032258,0,0,0,1,1,0,0,0,0.0,38.36666666666667,47.70588235294117,21.15384615384616,0,0,0,0,0,0,17,811,13,275,-1,501,11,0,544.6,168.33983485794442,683.0,259.0,10000517.0,502.860318577626,10001375.0,10000068.0,Mal_Estab
1821,172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,22/11/2022 03:35:20 PM,55011231,12,12,192.0,192.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,6.98039278561136,0.43627454910071,2391792.6521739126,4639730.927143136,11002439.0,10.0,55010758.0,5000978.0,5745133.870716973,11002439.0,134.0,55011118.0,5001010.727272728,5745552.16059409,11003749.0,10.0,0,0,0,0,96,96,0.218137274550355,0.218137274550355,16.0,16.0,16.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,16.666666666666668,16.0,16.0,0,0,0,0,0,0,12,192,12,192,-1,-1,12,0,630.2,472.8093696195117,1415.0,180.0,11001561.0,630.3764748148833,11002439.0,11000842.0,Mal_Mod2
1783,172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,22/11/2022 03:22:08 PM,55005665,11,13,176.0,208.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,6.981099128607935,0.4363186955379959,2391550.6521739126,4639447.3509556325,11001205.0,2.0,55005243.0,5500524.300000001,5797792.494410821,11001205.0,137.0,55005568.0,4583797.333333333,5664704.196291379,11001444.0,17.0,0,0,0,0,88,104,0.1999794021215814,0.2363392934164144,16.0,16.0,16.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,16.666666666666668,16.0,16.0,0,0,0,0,0,0,11,176,13,208,-1,-1,11,0,280.6,138.1205994774132,422.0,139.0,11000792.8,352.56942578731923,11001205.0,11000353.0,Mal_Mod2
1589,172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,04/10/2022 08:43:49 PM,59930605,805,805,14870.0,116360.0,21.0,16.0,18.472049689441004,2.501397897239454,276.0,16.0,144.5465838509316,130.0726906564515,2189.6992363083937,26.86440425555524,37247.11311373518,38365.29919590655,141704.0,17.0,59930233.0,74540.09079601997,15011.020166242775,142071.0,80.0,59930178.0,74540.02238805963,15012.608437049856,142153.0,127.0,0,0,0,0,6440,6440,13.432202127777618,13.432202127777618,16.0,276.0,81.63004345127251,111.57618767387888,12449.24565583664,0,0,0,0,0,0,0,0,1.0,81.68074534161491,18.472049689441,144.54658385093168,0,0,0,0,0,0,805,14870,805,116360,-1,-1,805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mal_Estab
996,157.90.35.62-172.21.0.110-0-0-0,172.21.0.110,0,157.90.35.62,0,0,22/11/2022 03:33:42 PM,59436705,58,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98530520828838,508006.0256410255,475596.9493810485,993498.0,37427.0,58367234.0,1023986.5614035088,2606.5436475034976,1032764.0,1015849.0,59436705.0,1007401.7796610172,128353.84101395957,1030925.0,38422.0,0,0,0,0,0,0,0.9758279837349664,1.0094772245534136,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,58,0,60,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
1718,172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,13/10/2022 01:58:20 AM,55007135,11,13,176.0,208.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,6.9809125670697085,0.4363070354418568,2391614.565217391,4639506.89284978,11001367.0,5.0,55006965.0,5500696.5,5797794.394225086,11001367.0,392.0,55006977.0,4583914.750000001,5664834.12106302,11001729.0,74.0,0,0,0,0,88,104,0.199974057910851,0.2363329775310057,16.0,16.0,16.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,16.666666666666668,16.0,16.0,0,0,0,0,0,0,11,176,13,208,-1,-1,11,0,366.4,111.10490538225574,437.0,170.0,11000967.2,448.1358053093136,11001367.0,11000273.0,Mal_Del
789,172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,22/11/2022 02:40:31 PM,55010564,11,13,176.0,208.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,6.98047742248198,0.4362798389051237,2391763.6521739126,4639553.19874887,11002341.0,7.0,55009686.0,5500968.6,5797875.898697081,11002599.0,227.0,55010485.0,4584207.083333333,5664899.695851374,11002839.0,24.0,0,0,0,0,88,104,0.199961592831515,0.2363182460736086,16.0,16.0,16.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,16.666666666666668,16.0,16.0,0,0,0,0,0,0,11,176,13,208,-1,-1,11,0,780.6,439.52280941948845,1453.0,378.0,11001202.2,646.6785909550937,11002341.0,11000734.0,Mal_Mod2
1535,172.21.0.100-172.21.0.120-80-52918-6,172.21.0.120,52918,172.21.0.100,80,6,01/11/2022 03:53:36 PM,50020622,18,14,811.0,288.0,81.0,0.0,45.05555555555555,37.53503809732075,65.0,0.0,20.57142857142857,21.15770194629728,21.97093830620499,0.6397361472234391,1613568.451612903,3740174.5683625056,10008276.0,2.0,50020547.0,2942385.1176470583,4698398.38869159,10008276.0,47.0,50020618.0,3847739.8461538455,5065651.103067895,10008421.0,49.0,0,1,0,0,576,448,0.3598515828131845,0.2798845644102546,0.0,81.0,35.27272727272728,33.26153251812889,1106.3295454545455,0,0,0,1,1,0,0,0,0.0,36.375,45.05555555555556,20.571428571428573,0,0,0,0,0,0,18,811,14,288,-1,501,11,0,272.0,42.78434293056281,324.0,229.0,10003787.6,3152.22029687025,10008276.0,10000191.0,Mal_Mod
1679,172.21.0.100-172.21.0.120-80-52918-6,172.21.0.120,52918,172.21.0.100,80,6,22/11/2022 02:46:26 PM,50053335,17,13,811.0,275.0,81.0,0.0,47.70588235294117,36.91335243831552,65.0,0.0,21.15384615384616,21.904513057990865,21.69685596374348,0.599360661981864,1725977.068965517,3848073.4131377256,10034362.0,6.0,50053227.0,3128326.6875,4791817.990334423,10034362.0,116.0,50053329.0,4171110.750000001,5154535.968176858,10034629.0,100.0,0,1,0,0,544,416,0.3396377084563896,0.2597229535254743,0.0,81.0,37.12903225806452,33.44422415055039,1118.516129032258,0,0,0,1,1,0,0,0,0.0,38.36666666666667,47.70588235294117,21.15384615384616,0,0,0,0,0,0,17,811,13,275,-1,501,11,0,543.4,57.29572409874928,622.0,462.0,10010043.8,13740.8940466041,10034362.0,10001354.0,Mal_Mod2
