message_type,source_ip_encoded,dest_ip_encoded,packet_size,timestamp_delta,sequence_number,flow_label,teid,qfi,priority,label
51,814,312,275.7640745914804,0.4044559498914576,6781,913233,46366,6,0,0
4,11,164,761.5874881176167,0.24283588771318346,27051,637547,50186,11,3,0
5,317,313,1084.5339049584607,0.057826730754699684,8016,100804,2787,33,3,0
51,591,20,414.21356788555215,0.0040767801495071926,3131,69000,1621,9,0,0
3,215,81,826.2734656860767,0.04498771171513196,28084,84179,36304,4,5,0
52,338,580,918.780702688032,0.17509456695605757,16481,979611,19590,20,9,0
5,775,130,774.9847174177121,0.12089823359870629,47600,851481,2883,2,1,0
5,990,598,855.7077769223179,0.06149714248845542,53011,815697,62249,18,10,0
51,660,729,1288.7972681678448,0.0028338900936749926,61522,474706,49323,44,4,1
2,80,932,556.1816129244704,0.0556685858065787,38166,784514,24525,43,7,0
3,726,983,1249.5747716035605,0.06330402262968449,11529,23880,9746,34,14,0
51,484,304,1761.490575334297,0.13194174074456996,61334,871011,15862,5,2,1
3,373,914,1156.9734191723503,0.10246727621079946,49609,393471,91708,13,8,0
3,975,370,1104.1027221631591,0.03734620866502432,5915,394718,91736,3,6,0
52,709,856,327.5061591700928,0.07451107299407693,37137,725552,54262,44,8,0
5,199,852,1077.81871334359,0.00683380585903191,11180,851856,2838,50,0,0
4,536,383,1495.0206423972786,0.17980268270906397,65390,469054,74136,17,4,1
52,465,907,508.5643732752975,0.02231903518878148,62623,857398,81448,28,11,1
52,88,444,735.5268934549765,0.06498336140180051,58376,172438,54381,34,12,0
3,267,424,1324.5570521963798,0.021947266463424025,60238,420641,86090,51,2,1
50,654,160,1299.2951294373906,0.11473144065797576,51090,445544,49832,37,3,0
5,570,177,1017.4171573682777,0.1085396478458099,46717,769640,89350,15,3,0
2,921,628,810.9454227247643,0.06281988264083703,63215,591684,38256,19,10,1
52,488,707,1308.616537535589,0.03121704530352204,54305,333838,29521,23,11,0
4,876,894,813.1339288141668,0.037931280211665884,13825,399022,29542,34,6,0
50,537,489,723.2476589290725,0.013381855510453029,4300,479490,65773,43,9,0
50,46,326,701.8645410233563,0.10656901347996493,64006,803538,27351,50,10,0
2,287,597,312.93342859306,0.004061069115435525,46889,56731,44398,18,7,0
52,777,288,767.0691488551573,0.091051329227412,8119,75010,77086,55,10,0
4,15,592,949.2455771916973,0.2037884213244392,10757,1000037,63866,3,9,0
5,710,663,684.3850017424353,0.22148686572717236,57787,249091,55957,32,4,0
1,400,572,1389.2036147614012,0.029804450139727146,65139,294743,27454,1,12,1
4,918,572,811.0240180886186,0.030744875189969004,63647,71326,62346,12,12,1
2,793,353,757.721625716714,0.008009265717967772,37553,773164,12907,61,11,0
50,980,27,1342.4431469738843,0.05554917873811835,65408,337850,14989,57,9,1
5,85,953,856.8982631190263,0.1721819800183335,41793,533292,27724,60,6,0
4,249,42,318.3604730842861,0.0280580752753342,14675,501498,33801,44,2,0
1,390,680,668.2982147386315,0.05469725938757089,50614,115018,39108,29,2,0
1,781,422,1303.2388790937819,0.18253535032869073,44477,444580,27431,33,2,0
3,334,597,652.2661777008447,0.20965508154354603,33928,550080,32536,29,11,0
3,628,176,804.7422632335519,0.02786298084551103,387,488968,68477,50,3,0
51,518,528,773.9732748353167,0.07997765776660358,26618,458128,87330,53,5,0
2,136,609,1270.4719276758954,0.021380374173656472,7193,54645,77799,23,14,0
52,882,965,1780.6656549876016,0.005372510663319602,61616,531520,52285,47,4,1
4,687,493,1042.2592999456429,0.2420473774890319,30021,471426,56233,43,7,0
4,839,197,762.0409589823598,0.08588109391173632,62429,579054,44421,32,13,1
52,497,609,1361.632372136436,0.07136308951975792,63652,644889,37711,40,13,1
